Initial Sequence Index,Assigned Token ID,SHA-256 Hash,IPFS Hash
0,55,875514a8a2e8b3f0252e2b30f83c9ef1eafd841ce7c2171c1c8cc808c95bda5e,Qmf8Cxd5jQ732bXHw8tpR4oHMutzFrS2t7XXvreXGdDxd6
1,56,c70e457f6b872a1e5135097ba9afe2b78c8eeff286b21454d33e1e7eb7819301,QmR5VUDwj86py6WdNX3JqSiR3QrVGtBvYrnzVecS1wHUeA
2,57,3b55c3d529ac22707d72dd791bb2e2a8d2fb23c63f169b09505fa8740b649228,QmdK2qPP5TB15h8z31U9WMCCULmVN2U7dv2ZSDbEbAGSc4
3,58,48ac232b62859614063e850ceb5e9fdcf2df8616ab5a54c607c530efca2018da,QmfWD3yBUS9B9xGqFxXzVQkz8EA3ykaEBfx1AMnpRdU9fD
4,59,48020dec2ebc154bce5ca99d7b0e5370dd291c8f80465decee7312238cb24c89,QmQXpJxSf7JLDXSHrHoaVaXmp3246AZmtKNh8xq94PDEoj
5,0,21f29f1afb78b8c5628b2febb56185f50fd1fb0075d79c7f385f8dcd6dd013ed,QmSZ9g2e4VnaAUPJSca3iVXpZpYqyYg9akLsUJ1p6soxyG
6,1,6488c0825c55289563c15375e601b2b2a310f9ef5cdf88d0db7d79c3543c16bb,QmRuUH6ELwVDqRnzW2WCmWrXuBJRoWoc6yomwdxJyHMDgh
7,2,42c7a1da2df63efcdcf7e2295586c4217184c98493a09e366c1a8d614f2802e5,QmTTF4yfCgBn9rHTuE9TeCm8RdnYrbQAtPMRgBnAZug6pf
8,3,d731ee40fc71390f44c063c15979deb420a7fa616393270b1d9a0e7a1f6f933b,QmUWxBnXgcDiHCzoycQ4UWtW1nhx1mA67nWYrNQyXZFWau
9,4,57744606ce1302a618e8ef5bf050d9e055656487aceb77aea7df7a3888c8d353,QmTMQ95Q1FUS6EMRXxZEHn6WuzB3LVY4Eynr5LaDooiUcM
10,5,246a287846fb2c31e2a738557217dc93ba277baa7534ef7bf0489b16821e4418,QmS1y4KQ5EggUmaJ9bq3vLzvFNX5RuEidi5wHGhEBmdUEE
11,6,3bd7fbdce5a3213d89846772d968dcd7985237083061a6659edece2e12d4bfda,QmVzxBEnzSQkDnh8NjSw9ogSagWHVViFAYLz5g8zGQLrek
12,7,a790b04ab47715d4f155bf2662b126a6a0e35532510768a25ca2b406f5064de5,QmcJjipfrvek63FCaWXzyohA1UPSCyq7RDYCmBweLYqtB6
13,8,bc695bff6774629fd96a3d5248b72bebcf9c29c1662d59888c9d1f883b71daf9,QmQoqQhnNjtqcmJn7yp8FVBvL1c4Hgx6eGtgWejV8Kwqee
14,9,83e089923ef46b5db36ea2ae247c22b9d5364ec2c3bb57273ff84f3c9b3c4109,QmfZ7X4bxGCQC9JME9xYN9NjDtCPETmgN2ddzVhm9UCJ3C
15,10,8d9541c1b8120cf28c74a1ae564a3c77f2368336a68bc3e485217d9276c190c8,QmVUNheW4uB7rhsNgRB492MKqU3Pd7u42qpbozacbfzVde
16,11,1a396e07c80e79a6580eab73212f124ddef20a47c0545866417f030cd5f2faa4,QmWJrEuuzZuuaXo3M7C6K3fSwjVFUUpSSVLhMi1p1W33eh
17,12,75606e66c4107e0086dd9f72c2fb0d9811e20cc03e00f9bc138e8f3e384a3960,QmeYpFvhux77asE51c1SJHUniF8HkM4o9Du7o4xshMxxQZ
18,13,558ac9324e011a6052257b911788d2e216fc43c40b4cc00769cc46bec69cd825,QmXrvE9AeZqfeQ4zopirrmX3LRqxr1ExU2nXiPqck698NK
19,14,08882f805e22ba1dbfaa779fd074551f1c22a26da195097f79ffa52a3f708003,QmYetKLS1c23KNLfTNuXGWjnPswEbwbuTrzGcCmhn7jAWE
20,15,34ec59a702b54cc496a0a5f88227186052a1fcd430f8a7edfd361835d8b54d2e,QmegPqrynG8yRuXje3DZGUtEm7BqWHnszPrdjF6HYKkpWt
21,16,904cb33f17c92665ac9491dbdf4f5d0890c9da0083955b442a5b0981b10a4c34,QmUVVirNsYBUwDWwoAQw88mnA2nBTNAKyRWKSuaGX82fQm
22,17,2798d2826e0e35df5b319410b8aecc2a89beeb60017d339b001ad0639685caf2,QmQyA4PRjMoBve22dW4fViMxvpt7J8xpj2AXRpFqyNhDs2
23,18,c3b49647d30bb5ff2c1acd2201ec2d45778b9f9c805c0467ccb86a45c87d9c74,QmZpkR5epvAvjjtZ6gATssBqW7HBcvDkYmBf24hQDB7pWi
24,19,aed48b3d5cafaa99c4c9673a5286225e577fa4881209bbf42e81db048bad2118,QmaKkWomhhniiHabqaViugfLyUdRXDrTHQuN3MnoL9Pjg3
25,20,17587efa88afcc7e106c1460ead51089b13d4a8e98c3ab7ef7ba3e5c9f17ad71,QmZVnK3KHdZxCP9PEs31XHfNGC7MCQjfLENaheSUv4ESYB
26,21,e5a113d99e6de5d0ada777a630a93b3df70fb1d2e543cdea37dd204cc22e6e43,QmVs8BaoeehGkuvwPBjfJoo38gyR4iEhcjqor31U1AYzHu
27,22,da7c6aa4fe0a750d253fde7be95781b0079c70cdd7bc27d7dec65b378d382651,QmUkWbDCM7PxLnjEwkVY5CmGUDEj7Cx3oDv3K33aJg8fTE
28,23,c333973b8bc75a2e4c6bd9ab7bfe91e37bc22244300146f070b8bce049643e8e,QmTcP37M85DCDiRnFd8ftdoqgwvhAijf4pXMAQMFbJMpPz
29,24,2166102619749fe4c827950ca660de6a3109a0da657be8d8b461a85dd36f914a,Qmao4zFR5h3mnjMjRUpCTEQXaihrUszabZLW84ETxkrk2r
30,25,b9f896164df24681c3c8b277e0c416720a6320a09f72b497ce787f1c0449ad7e,QmVhyvFfxDcJ1AnkZUJrXGzW4ZuCeNsvdkUBAbekEmEixA
31,26,888b497ae3feab1df2bdc0264b1925e936cd2dc037ccfe438f84614d7bba7c79,QmWnXwvTPQKj6Dn1jYFzL3ApfQ9Wd9sMcXf1YeFZEpBAQs
32,27,16a91a1016f25a153081c1a62d79c3e3ee64f133d4aac9c6226072524b4d25b7,QmSJBqAKdk9aedkG67RtVZ35ccSvzdMYAY2LPjNnmafcHT
33,28,88a129960236f10a5cfc773dbcf1883e47be83c5dcc98ede0999698a3f4f3332,QmbHaRc4Y7Nb2gygBCTJsCQVhwipH3vaXZimWe8Dd3XsJX
34,29,729c87bf475b4eee78edcffce4d11520160f06f17de6399c6e05726dc43b5673,QmUEL7uauuNdhZw3h8XRhpyqLnYvJgJ9zNQWPL8obr8JK8
35,30,3a34db498016b410a6a764ea3c8c0cde0a692644d82547fb4d1a11e614a1008e,QmcPAFBRikc3E4ASE7vGqbfNY7x4wvJgC1fEXE3WSB1oLZ
36,31,167103b103af74d9158da1941c69a02a38205aba533494803f07ce4ac0db0258,QmVSQZYQYy6aCRrK9y7xKoy6iLjWkq72sVma6sMWUizUug
37,32,643f8233795f7261d09c510a04b6cf7f4827dc5f183295957e875baee81b58c1,QmWSar6xpy6i18QBLpqei81M7BeNJ8Wre3gcmCjsmA6Kyv
38,33,da76ed288b91613f3f3735b0dfde24aaa5df71f090ab596fd9e1d31a0fe23db6,QmNRFwDMxRSkifARLsKPbseA6nVHREnHatt8qsAy2twgMR
39,34,200eed64868628b861a9ee53e3c3ef82ce1b470ed02cd4f60f2b485098906bd3,QmYcesfSefasnUoKE7rBiU3vZTsrLeW5SzpychNbLrQUZi
40,35,565c067a92cdb7223706c09d9228d8862fc9cee08d41fa10d35e97dac3ab5f93,QmbZZquDgbzVtQHwWj93q7t5iD9rV3WEHdPpUbKzinBrjP
41,36,0cde2ba54109c97e2cd2c2a5259c14f932b77c2a06099281708ff1bbe5a470f8,QmSfwczYSpjVD9KscbnQAWGPSHJkNZ4RCJFrEEXfdJyHbL
42,37,f031272d43ca383abc65c05512fc0de80c863de972c4fc0a72ea86c432e7fe0e,QmXYgzNaFBnxup8cHPV8FSFv5qEWz92gnDqmFXLJE2SyW6
43,38,e74b95aec8cfc1e438b871e1cde5015ffb7597c9029d18f38f3d86dfd82146f3,QmXDEJMw6Wnro7EBM1YPhtguVgjmvTwn5LN9TCvgCytwPo
44,39,2d4936c0618931a7ec68d012f06028d13200c7e357a3c241f43871a6b1b628b4,QmUHPwczie3gsKwVTtXc7DF5bQZXhaeTn1fek3VLxj9Tkf
45,40,30503f093b40992ea9a7dac785c32d2628aa94d5738f25a6d889c0effe9d9a04,QmbVUZT4dfKrWnydiTQKp88AZHHwDGXEEh25R3ezxgSNFb
46,41,a6db94a18540bc91942d0832330c8642d633d0e73503e5697621a3520e37fc16,QmTf18usjKh7RdwCstkvBX5VGRG8q7VhYCPmsDQwgbRxvz
47,42,7cb8cce3ef9173c4f1abb2443232311ee07778bd9e09591c30419ff8bedc10ba,QmRKCKQeeSUz3ujiWFpyRyNeR2zUWfNR3ivz2ND5uRuRob
48,43,2ad4dfa95cd1b890c2541bd5451a1dd75058eb5f99185f35440970db55385269,QmbfKZmFhBoiTvSqdwicHawQ7GTe5Ea8XRbvrFzoExnynL
49,44,8eec4e296ed70d2203926f5251423ff383bacb229abd9478d1a0d2281a825eaf,QmaG3EuAQF9knbUBDChuHhySPuJSgGLrHppV6EH65ddLh6
50,45,5606f47205eb40bc831179d870333992bde095899b4ad478698d57d9d64dfc62,Qme3KpQehHxnyrfmCV8AohBryo47czEng7kGmsyCjPUB4g
51,46,549d8e6e4079b5f2807f251644402a9371a4a3af0da91207362d809dff234627,QmSLi54c1tJecFSPu4p1K8HAXW5JzRzJVJup4Dw8t7Jk9N
52,47,ee91e0e2748e06d2896b1faff979c8db0bda554ea91d92c0fc692020b9ccb852,QmSgcojebPzCiRLYaA7qxUmvDfPD28PrBnyc42wFtPC1qq
53,48,53d5b8ecc948c10924b654cb2bc6b735c3f8553cbfa793aa0b9ae56460763092,Qme4vRG5i8YAspZ8oHoPRkA9tTyd6wHEwGaSFiLC4BSXKQ
54,49,b9836b5f741b4e1f1e3e714138143261a7c9a5c13606dfb5b321302fd785470b,QmfBNT6vcy7Z1zLFzVpqNRRhLKDkCCAWLgSzog8agKrKRJ
